NO_OF_FRAMES	197
NO_OF_CAMERAS	16
NO_OF_MARKERS	53
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-09-06, 20:17:21	13066.25305571
DATA_INCLUDED	3D
MARKER_NAMES	L_HEAD	R_HEAD	SGL	SJN	SXS	CV7	TV2	MAI	LV1	LV3	LV5	L_SAE	L_HUM	L_HLE	L_RSP	L_USP	L_HM2	R_SAE	R_HUM	R_HLE	R_RSP	R_USP	R_HM2	L_IAS	L_IPS	R_IPS	R_IAS	L_FTC	L_FLE	L_FAX	L_TTC	L_FAL	L_FCC2	L_FCC	L_LCAL	L_FMT	L_FM5	L_FM2	L_PM6	L_P1MT	R_FTC	R_FLE	R_FAX	R_TTC	R_FAL	R_FCC2	R_FCC	R_LCAL	R_FMT	R_FM5	R_FM2	R_PM6	R_P1MT
Frame	Time	L_HEAD X	L_HEAD Y	L_HEAD Z	R_HEAD X	R_HEAD Y	R_HEAD Z	SGL X	SGL Y	SGL Z	SJN X	SJN Y	SJN Z	SXS X	SXS Y	SXS Z	CV7 X	CV7 Y	CV7 Z	TV2 X	TV2 Y	TV2 Z	MAI X	MAI Y	MAI Z	LV1 X	LV1 Y	LV1 Z	LV3 X	LV3 Y	LV3 Z	LV5 X	LV5 Y	LV5 Z	L_SAE X	L_SAE Y	L_SAE Z	L_HUM X	L_HUM Y	L_HUM Z	L_HLE X	L_HLE Y	L_HLE Z	L_RSP X	L_RSP Y	L_RSP Z	L_USP X	L_USP Y	L_USP Z	L_HM2 X	L_HM2 Y	L_HM2 Z	R_SAE X	R_SAE Y	R_SAE Z	R_HUM X	R_HUM Y	R_HUM Z	R_HLE X	R_HLE Y	R_HLE Z	R_RSP X	R_RSP Y	R_RSP Z	R_USP X	R_USP Y	R_USP Z	R_HM2 X	R_HM2 Y	R_HM2 Z	L_IAS X	L_IAS Y	L_IAS Z	L_IPS X	L_IPS Y	L_IPS Z	R_IPS X	R_IPS Y	R_IPS Z	R_IAS X	R_IAS Y	R_IAS Z	L_FTC X	L_FTC Y	L_FTC Z	L_FLE X	L_FLE Y	L_FLE Z	L_FAX X	L_FAX Y	L_FAX Z	L_TTC X	L_TTC Y	L_TTC Z	L_FAL X	L_FAL Y	L_FAL Z	L_FCC2 X	L_FCC2 Y	L_FCC2 Z	L_FCC X	L_FCC Y	L_FCC Z	L_LCAL X	L_LCAL Y	L_LCAL Z	L_FMT X	L_FMT Y	L_FMT Z	L_FM5 X	L_FM5 Y	L_FM5 Z	L_FM2 X	L_FM2 Y	L_FM2 Z	L_PM6 X	L_PM6 Y	L_PM6 Z	L_P1MT X	L_P1MT Y	L_P1MT Z	R_FTC X	R_FTC Y	R_FTC Z	R_FLE X	R_FLE Y	R_FLE Z	R_FAX X	R_FAX Y	R_FAX Z	R_TTC X	R_TTC Y	R_TTC Z	R_FAL X	R_FAL Y	R_FAL Z	R_FCC2 X	R_FCC2 Y	R_FCC2 Z	R_FCC X	R_FCC Y	R_FCC Z	R_LCAL X	R_LCAL Y	R_LCAL Z	R_FMT X	R_FMT Y	R_FMT Z	R_FM5 X	R_FM5 Y	R_FM5 Z	R_FM2 X	R_FM2 Y	R_FM2 Z	R_PM6 X	R_PM6 Y	R_PM6 Z	R_P1MT X	R_P1MT Y	R_P1MT Z	
12	0.11000	2335.590	126.589	1660.681	2344.376	296.556	1648.219	2210.754	217.976	1681.407	2297.750	193.384	1406.871	2274.230	186.666	1251.954	2417.024	213.035	1508.669	2440.395	210.233	1475.239	2484.198	202.861	1344.877	2457.674	198.470	1160.150	2452.759	195.417	1121.513	2462.656	197.187	1083.875	2377.397	-5.342	1461.793	2424.246	-44.316	1292.351	2446.779	-56.630	1143.360	2331.283	-37.125	906.630	2377.822	-84.199	888.506	2334.917	-69.909	826.934	2346.267	408.216	1438.286	2388.354	459.063	1267.689	2370.774	484.174	1123.146	2209.181	430.260	913.667	2254.695	476.969	888.932	2175.946	461.834	847.598	2317.552	77.760	1012.914	2472.371	158.900	1061.453	2466.710	245.628	1057.748	2300.649	294.069	1010.483	2381.325	23.630	839.608	2242.350	50.344	530.762	2255.768	49.069	465.294	2211.624	94.553	436.884	2396.499	83.541	130.654	2443.120	135.299	144.295	2460.719	138.763	109.535	2416.846	93.913	89.744	2370.764	76.173	70.724	2316.347	60.174	43.593	2289.215	103.693	52.007	2240.333	132.375	32.978	2320.486	129.470	103.123	2388.031	357.870	820.227	2415.437	315.770	507.779	2446.831	323.352	437.925	2393.489	274.712	424.584	2532.519	270.796	88.074	2574.860	221.639	91.507	2585.793	217.812	56.467	2539.001	258.135	44.494	2486.285	273.818	34.046	2430.976	295.633	23.186	2391.969	247.225	33.162	2351.609	205.287	20.269	2445.101	229.110	77.684
13	0.12000	2318.285	125.835	1659.656	2326.398	295.793	1647.692	2193.231	216.547	1680.559	2280.473	193.058	1406.120	2257.218	186.623	1251.185	2399.598	212.847	1508.040	2423.000	210.199	1474.622	2467.010	203.114	1344.294	2440.644	198.509	1159.488	2435.997	195.615	1120.833	2445.712	197.054	1083.142	2360.808	-5.582	1460.633	2409.604	-43.734	1291.441	2434.208	-55.946	1142.973	2323.147	-38.905	903.869	2371.541	-85.346	886.873	2329.190	-71.726	824.342	2328.424	407.890	1438.145	2368.821	459.691	1267.491	2349.214	485.331	1123.219	2183.217	428.287	918.107	2227.719	474.914	891.807	2147.951	458.765	852.931	2300.093	78.229	1012.382	2455.321	158.576	1060.734	2450.674	245.406	1057.313	2283.837	294.693	1009.869	2363.411	23.570	839.323	2218.977	51.004	531.986	2229.267	50.236	464.862	2185.114	96.859	439.704	2348.481	84.228	120.974	2395.344	136.526	133.038	2411.723	138.765	96.401	2365.545	94.460	79.344	2318.136	77.370	63.203	2261.766	62.061	39.845	2235.898	105.652	50.213	2185.773	134.775	34.980	2270.723	130.969	99.468	2375.013	358.560	819.660	2410.285	316.399	508.355	2442.726	323.904	438.901	2389.925	274.926	424.922	2531.938	270.500	89.847	2574.127	221.264	93.954	2585.447	217.215	59.077	2538.777	257.804	46.327	2486.171	273.705	35.104	2431.267	295.436	23.440	2391.990	247.315	33.201	2351.602	205.685	20.478	2444.448	229.149	78.314
14	0.13000	2300.941	125.049	1658.242	2308.465	295.091	1646.679	2175.555	215.251	1679.277	2263.115	192.694	1404.841	2240.123	186.501	1249.938	2381.826	212.118	1506.790	2405.609	210.090	1473.650	2449.825	203.261	1343.300	2423.550	198.481	1158.420	2419.031	195.510	1119.753	2428.736	196.827	1082.061	2344.078	-5.834	1459.108	2394.949	-43.343	1290.295	2421.238	-55.242	1142.269	2315.019	-40.835	900.851	2364.782	-86.322	884.885	2323.225	-73.619	821.536	2310.644	407.551	1437.625	2349.438	460.146	1267.014	2327.924	486.313	1122.981	2157.698	426.342	922.420	2201.217	472.890	894.411	2120.439	455.833	858.044	2282.459	78.683	1011.311	2438.140	158.227	1059.524	2433.112	244.704	1055.865	2267.210	295.240	1008.677	2342.419	22.837	839.574	2196.891	51.399	532.531	2203.910	50.973	464.371	2159.676	98.508	442.108	2300.306	84.621	112.418	2347.849	135.515	120.727	2361.020	138.671	84.067	2313.346	95.348	69.525	2264.463	79.003	56.681	2206.692	64.354	37.059	2182.034	108.072	50.063	2131.446	137.741	38.503	2221.016	132.360	96.888	2361.615	358.797	819.035	2404.845	317.073	508.863	2438.465	324.417	439.835	2385.738	275.721	425.109	2531.295	270.134	91.674	2573.036	221.069	96.138	2584.885	216.627	61.646	2538.581	257.391	48.304	2486.124	273.547	36.142	2431.514	295.154	23.605	2391.970	247.213	32.982	2351.733	205.827	20.597	2443.751	229.105	78.997
15	0.14000	2283.005	124.787	1656.283	2290.555	294.350	1645.312	2157.913	213.973	1677.575	2245.750	192.353	1403.193	2223.694	186.549	1248.277	2364.376	211.782	1505.328	2388.174	209.895	1472.206	2432.575	203.247	1341.961	2406.441	198.287	1156.947	2402.207	195.453	1118.346	2411.579	196.569	1080.454	2326.921	-5.952	1457.167	2379.890	-43.010	1288.767	2407.875	-54.549	1141.198	2306.704	-42.765	897.637	2357.771	-87.210	882.727	2316.974	-75.621	818.651	2292.901	407.121	1436.780	2330.275	460.452	1266.207	2306.858	487.137	1122.511	2132.622	424.471	926.452	2174.972	470.674	896.799	2093.474	453.116	862.897	2264.625	79.145	1009.839	2420.781	157.871	1057.967	2416.179	244.305	1054.331	2250.417	295.872	1007.165	2323.744	22.318	838.672	2176.051	51.465	532.346	2180.036	51.196	463.492	2135.296	99.414	443.994	2249.520	85.971	104.634	2299.574	135.374	110.217	2310.105	138.647	72.851	2260.734	95.990	61.241	2210.715	80.538	51.678	2151.526	67.065	36.023	2128.501	111.033	51.375	2077.566	141.457	43.663	2171.045	133.772	95.306	2347.980	359.255	818.006	2398.896	317.871	509.388	2433.862	324.823	440.782	2381.131	276.644	424.928	2530.676	269.673	93.611	2572.038	220.425	98.696	2584.276	215.946	64.361	2538.337	256.823	50.280	2486.402	273.775	37.205	2431.608	294.345	23.666	2391.865	247.227	32.840	2351.739	205.943	20.428	2443.009	229.096	79.650
16	0.15000	2265.671	123.964	1654.148	2272.709	293.560	1643.542	2140.290	212.761	1675.550	2228.262	191.906	1401.078	2206.527	186.453	1246.212	2346.947	211.329	1503.471	2370.723	209.541	1470.421	2415.294	203.130	1340.185	2389.399	198.324	1155.078	2384.988	195.065	1116.458	2394.944	196.596	1078.622	2309.845	-6.345	1454.960	2364.449	-42.826	1286.880	2394.187	-53.914	1139.843	2297.330	-45.160	894.264	2350.411	-88.081	880.405	2310.389	-77.752	815.594	2275.194	406.566	1435.664	2311.247	460.623	1265.075	2286.093	487.773	1121.708	2107.994	422.786	930.161	2149.091	469.160	898.945	2067.038	450.616	867.465	2246.623	79.600	1007.949	2403.249	157.415	1056.093	2399.050	243.992	1052.368	2233.442	296.468	1005.281	2305.281	21.797	837.291	2156.387	51.179	531.492	2157.464	50.859	462.114	2111.893	99.571	445.337	2199.745	86.651	98.573	2251.007	135.301	101.026	2258.741	138.389	62.985	2207.764	96.789	54.562	2156.898	82.374	48.408	2096.041	69.938	37.303	2075.420	114.427	54.338	2024.551	145.805	50.564	2121.401	136.182	95.098	2334.121	359.817	816.848	2392.922	317.780	509.665	2428.543	325.330	441.770	2375.683	277.946	424.736	2529.970	269.102	95.634	2570.880	219.695	101.452	2583.486	214.974	67.236	2538.039	256.144	52.384	2486.442	273.517	38.208	2431.972	294.005	23.833	2391.792	247.300	32.776	2351.559	205.873	20.216	2442.178	229.155	80.365
17	0.16000	2248.346	123.156	1651.730	2254.909	292.775	1641.380	2122.712	211.559	1673.171	2210.746	191.472	1398.691	2189.263	186.260	1243.812	2329.826	211.163	1501.499	2353.323	209.148	1468.229	2397.991	202.946	1338.055	2372.068	198.131	1152.813	2367.748	194.926	1114.172	2377.541	196.407	1076.230	2292.603	-6.816	1452.399	2348.597	-42.760	1284.618	2380.133	-53.330	1138.146	2288.285	-47.028	890.697	2342.550	-88.980	877.929	2303.367	-79.942	812.391	2257.523	405.972	1434.199	2292.392	460.628	1263.626	2265.627	488.281	1120.616	2083.773	421.042	933.578	2123.927	467.342	900.903	2041.202	448.257	871.639	2228.440	80.030	1005.709	2386.010	157.172	1053.925	2381.742	243.655	1049.969	2216.205	297.164	1003.036	2286.947	21.321	835.294	2137.795	51.070	529.784	2136.000	50.272	460.227	2089.184	98.968	446.090	2149.661	87.758	94.502	2202.360	135.102	92.957	2207.325	138.366	54.749	2155.112	97.883	49.623	2103.227	84.445	47.073	2041.834	73.482	39.906	2023.402	118.100	59.023	1973.005	150.542	59.386	2072.486	138.662	96.421	2320.132	360.564	815.440	2385.589	318.178	509.853	2422.679	325.379	442.550	2369.566	278.955	424.294	2529.098	268.451	97.796	2569.442	218.737	104.268	2582.582	213.897	70.344	2537.628	255.350	54.556	2486.365	273.020	39.296	2432.335	293.518	24.046	2391.681	247.319	32.664	2351.500	206.292	20.368	2441.260	229.098	81.078
18	0.17000	2231.006	122.307	1649.053	2237.190	291.959	1638.941	2105.114	210.385	1670.502	2193.208	190.967	1396.060	2171.883	186.093	1241.127	2312.080	210.143	1498.817	2335.852	208.563	1465.780	2380.645	202.616	1335.682	2354.653	197.921	1150.241	2350.981	194.555	1111.928	2360.076	196.127	1073.513	2275.167	-7.383	1449.453	2332.545	-42.836	1281.969	2365.768	-52.855	1136.083	2279.451	-48.650	887.102	2334.141	-89.838	875.355	2295.687	-82.121	809.083	2239.945	405.354	1432.400	2273.692	460.536	1261.845	2245.491	488.626	1119.203	2059.998	419.522	936.549	2099.327	465.582	902.526	2015.978	446.219	875.452	2210.035	80.406	1003.199	2368.776	156.907	1051.514	2364.295	243.354	1047.289	2198.764	297.755	1000.487	2268.721	20.901	832.837	2120.240	51.108	527.092	2115.433	49.777	457.561	2067.059	97.984	446.147	2101.510	88.830	91.440	2154.417	135.782	86.770	2156.730	139.055	48.421	2103.595	99.180	46.366	2051.219	86.370	46.844	1989.413	76.707	43.869	1973.191	121.378	65.210	1923.384	154.508	69.693	2025.111	140.031	99.423	2305.862	361.478	813.787	2377.194	318.313	509.823	2415.900	325.181	443.247	2362.427	279.478	423.806	2528.056	267.895	100.225	2567.761	217.913	107.395	2581.572	212.883	73.521	2537.109	254.684	57.073	2486.136	272.637	40.571	2432.760	292.600	24.030	2391.576	247.325	32.618	2351.335	206.236	20.225	2440.259	229.114	81.833
19	0.18000	2213.679	121.428	1646.193	2219.518	291.159	1636.241	2087.587	209.232	1667.617	2175.608	190.400	1393.114	2154.567	185.909	1238.160	2294.985	209.726	1496.343	2318.419	207.923	1463.099	2363.335	202.270	1333.044	2337.220	197.612	1147.364	2332.836	194.528	1108.641	2342.505	195.865	1070.470	2257.599	-8.036	1446.143	2316.184	-43.072	1278.992	2351.055	-52.557	1133.678	2269.134	-50.549	883.125	2325.020	-90.717	872.593	2287.859	-83.998	805.447	2222.424	404.652	1430.321	2255.142	460.307	1259.700	2225.599	488.860	1117.439	2036.698	418.220	939.070	2075.310	463.779	903.791	1991.325	444.430	878.750	2191.634	80.772	1000.335	2351.518	156.615	1048.793	2346.718	243.045	1044.326	2181.104	298.276	997.703	2251.314	20.861	829.643	2103.183	51.273	523.533	2095.553	49.354	454.307	2045.527	97.039	445.647	2055.501	89.923	90.121	2108.215	136.481	82.105	2107.704	140.337	43.954	2054.221	100.580	45.053	2001.756	88.108	48.462	1939.899	78.997	49.570	1925.409	123.470	72.743	1876.473	157.120	81.075	1979.718	141.065	103.652	2291.206	362.389	811.924	2367.484	318.305	509.529	2407.948	324.877	443.713	2354.155	279.757	423.155	2526.656	267.368	102.873	2565.800	217.216	110.829	2580.276	212.083	77.210	2536.399	254.055	59.790	2485.708	272.493	42.192	2432.845	292.335	24.644	2391.422	247.293	32.525	2351.226	206.291	20.208	2439.091	228.680	82.113
20	0.19000	2196.335	120.457	1643.162	2201.832	290.180	1633.337	2070.056	208.078	1664.588	2157.985	189.848	1389.969	2137.131	185.630	1235.083	2277.215	208.590	1493.221	2300.953	207.184	1460.217	2345.981	201.850	1330.207	2319.685	197.335	1144.315	2315.151	194.247	1105.432	2324.995	195.537	1067.151	2239.986	-8.800	1442.610	2299.661	-43.426	1275.677	2335.967	-52.407	1130.918	2258.441	-52.921	878.928	2315.186	-91.622	869.523	2279.135	-85.988	801.854	2205.011	403.927	1427.965	2236.756	459.921	1257.258	2205.993	488.939	1115.426	2013.921	417.064	941.104	2051.866	462.237	904.659	1967.364	442.895	881.637	2173.048	81.012	997.411	2333.823	156.274	1045.562	2329.004	242.667	1041.024	2163.328	298.616	994.802	2232.541	20.189	826.436	2086.091	51.699	519.421	2075.594	49.426	451.101	2024.408	96.100	444.937	2012.320	90.984	90.175	2064.286	137.899	79.233	2061.283	141.992	41.143	2007.997	102.009	45.262	1956.001	89.973	51.321	1894.247	80.084	56.647	1881.036	124.255	81.142	1832.509	157.948	92.578	1937.313	141.526	108.922	2276.000	363.018	809.991	2356.350	318.202	508.996	2398.615	324.654	443.959	2344.746	279.917	422.163	2525.004	267.126	105.688	2563.530	216.900	114.515	2578.850	211.567	81.260	2535.467	253.719	62.633	2485.413	271.769	43.357	2433.034	291.757	24.996	2391.242	247.278	32.451	2351.153	206.312	20.180	2437.889	228.209	82.747
21	0.20000	2178.955	119.525	1639.961	2184.263	289.305	1630.339	2052.572	206.916	1661.402	2140.389	189.214	1386.757	2119.720	185.314	1231.783	2259.769	207.711	1490.204	2283.530	206.362	1457.253	2328.626	201.358	1327.226	2302.072	196.938	1141.071	2296.553	193.584	1101.764	2307.136	195.126	1063.619	2222.326	-9.646	1438.848	2282.979	-43.924	1272.139	2320.497	-52.453	1127.882	2247.844	-53.657	874.419	2304.487	-92.579	866.469	2269.672	-87.806	798.140	2187.839	403.093	1425.391	2218.662	459.616	1254.608	2186.703	488.862	1113.093	1991.626	416.085	942.695	2029.065	460.809	905.099	1944.023	441.614	883.972	2154.242	81.142	994.540	2314.167	155.470	1041.317	2310.903	242.242	1037.289	2145.428	298.849	991.738	2215.048	20.077	822.628	2068.835	52.337	515.413	2055.630	49.943	448.187	2004.000	96.049	443.927	1973.621	91.323	90.840	2023.571	139.191	77.922	2018.368	143.344	39.916	1965.641	102.977	46.818	1914.098	90.617	55.299	1852.883	79.932	64.100	1840.404	123.842	89.227	1791.896	157.269	103.089	1898.071	141.693	114.218	2260.319	363.350	807.937	2343.865	318.034	508.016	2387.822	324.480	443.903	2334.158	280.035	420.680	2522.913	267.420	108.673	2561.104	217.088	118.387	2577.210	211.750	85.568	2534.323	253.758	65.843	2484.625	271.924	45.088	2433.074	291.344	25.235	2391.026	247.320	32.343	2351.114	206.286	20.125	2436.410	228.371	83.640
