NO_OF_FRAMES	287
NO_OF_CAMERAS	16
NO_OF_MARKERS	53
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-09-06, 20:15:58	12983.26744918
DATA_INCLUDED	3D
MARKER_NAMES	L_HEAD	R_HEAD	SGL	SJN	SXS	CV7	TV2	MAI	LV1	LV3	LV5	L_SAE	L_HUM	L_HLE	L_RSP	L_USP	L_HM2	R_SAE	R_HUM	R_HLE	R_RSP	R_USP	R_HM2	L_IAS	L_IPS	R_IPS	R_IAS	L_FTC	L_FLE	L_FAX	L_TTC	L_FAL	L_FCC2	L_FCC	L_LCAL	L_FMT	L_FM5	L_FM2	L_PM6	L_P1MT	R_FTC	R_FLE	R_FAX	R_TTC	R_FAL	R_FCC2	R_FCC	R_LCAL	R_FMT	R_FM5	R_FM2	R_PM6	R_P1MT
Frame	Time	L_HEAD X	L_HEAD Y	L_HEAD Z	R_HEAD X	R_HEAD Y	R_HEAD Z	SGL X	SGL Y	SGL Z	SJN X	SJN Y	SJN Z	SXS X	SXS Y	SXS Z	CV7 X	CV7 Y	CV7 Z	TV2 X	TV2 Y	TV2 Z	MAI X	MAI Y	MAI Z	LV1 X	LV1 Y	LV1 Z	LV3 X	LV3 Y	LV3 Z	LV5 X	LV5 Y	LV5 Z	L_SAE X	L_SAE Y	L_SAE Z	L_HUM X	L_HUM Y	L_HUM Z	L_HLE X	L_HLE Y	L_HLE Z	L_RSP X	L_RSP Y	L_RSP Z	L_USP X	L_USP Y	L_USP Z	L_HM2 X	L_HM2 Y	L_HM2 Z	R_SAE X	R_SAE Y	R_SAE Z	R_HUM X	R_HUM Y	R_HUM Z	R_HLE X	R_HLE Y	R_HLE Z	R_RSP X	R_RSP Y	R_RSP Z	R_USP X	R_USP Y	R_USP Z	R_HM2 X	R_HM2 Y	R_HM2 Z	L_IAS X	L_IAS Y	L_IAS Z	L_IPS X	L_IPS Y	L_IPS Z	R_IPS X	R_IPS Y	R_IPS Z	R_IAS X	R_IAS Y	R_IAS Z	L_FTC X	L_FTC Y	L_FTC Z	L_FLE X	L_FLE Y	L_FLE Z	L_FAX X	L_FAX Y	L_FAX Z	L_TTC X	L_TTC Y	L_TTC Z	L_FAL X	L_FAL Y	L_FAL Z	L_FCC2 X	L_FCC2 Y	L_FCC2 Z	L_FCC X	L_FCC Y	L_FCC Z	L_LCAL X	L_LCAL Y	L_LCAL Z	L_FMT X	L_FMT Y	L_FMT Z	L_FM5 X	L_FM5 Y	L_FM5 Z	L_FM2 X	L_FM2 Y	L_FM2 Z	L_PM6 X	L_PM6 Y	L_PM6 Z	L_P1MT X	L_P1MT Y	L_P1MT Z	R_FTC X	R_FTC Y	R_FTC Z	R_FLE X	R_FLE Y	R_FLE Z	R_FAX X	R_FAX Y	R_FAX Z	R_TTC X	R_TTC Y	R_TTC Z	R_FAL X	R_FAL Y	R_FAL Z	R_FCC2 X	R_FCC2 Y	R_FCC2 Z	R_FCC X	R_FCC Y	R_FCC Z	R_LCAL X	R_LCAL Y	R_LCAL Z	R_FMT X	R_FMT Y	R_FMT Z	R_FM5 X	R_FM5 Y	R_FM5 Z	R_FM2 X	R_FM2 Y	R_FM2 Z	R_PM6 X	R_PM6 Y	R_PM6 Z	R_P1MT X	R_P1MT Y	R_P1MT Z	
1	0.00000	2465.236	111.678	1645.844	2479.070	282.258	1635.860	2345.277	206.063	1675.712	2409.308	185.468	1394.379	2374.639	182.061	1242.794	2540.446	188.615	1486.846	2560.802	182.192	1450.817	2590.309	169.811	1317.445	2546.559	175.645	1135.706	2538.494	176.223	1097.854	2545.739	181.281	1061.453	2467.687	-22.636	1444.886	2479.388	-64.669	1270.464	2471.543	-82.986	1120.026	2280.373	-57.101	940.769	2319.621	-96.361	900.086	2251.753	-90.809	869.680	2494.196	393.224	1416.796	2558.411	422.217	1246.759	2561.683	441.746	1102.968	2492.897	444.315	842.381	2550.066	486.789	847.199	2501.961	483.158	770.785	2391.153	70.299	985.879	2551.905	145.057	1037.461	2549.359	232.755	1039.441	2381.256	286.989	1003.427	2499.306	14.090	812.450	2510.265	20.112	479.356	2553.775	22.893	428.437	2520.651	57.950	381.155	2825.461	84.032	196.401	2841.022	136.384	237.782	2872.926	145.633	225.185	2862.986	101.804	177.723	2846.834	84.957	129.194	2831.125	73.118	69.024	2798.144	114.598	60.714	2770.841	148.966	21.919	2778.852	128.797	123.824	2436.371	357.948	816.095	2379.862	320.763	504.644	2387.000	328.563	430.464	2337.049	278.442	431.790	2360.084	270.272	72.597	2401.537	220.350	70.282	2404.664	216.113	37.275	2358.866	257.608	31.741	2304.293	270.836	27.169	2247.234	290.798	21.553	2211.584	244.008	36.083	2169.458	202.192	27.589	2268.568	229.001	77.672
2	0.01000	2452.637	112.735	1647.787	2466.157	283.328	1637.554	2332.445	206.980	1677.396	2396.546	185.795	1396.056	2362.197	181.828	1244.314	2527.553	190.146	1488.590	2547.870	183.564	1452.729	2577.670	171.290	1319.327	2534.502	177.023	1137.642	2525.726	177.600	1099.541	2533.695	182.717	1063.177	2455.704	-21.807	1447.086	2468.765	-63.219	1272.534	2462.567	-80.167	1121.817	2274.792	-55.594	938.674	2314.902	-94.553	898.864	2247.857	-89.423	867.005	2479.860	394.174	1418.394	2543.450	423.711	1248.131	2546.504	443.104	1104.331	2475.324	445.785	844.341	2531.807	488.316	848.871	2482.190	484.717	772.758	2380.421	70.181	987.422	2540.367	146.599	1039.099	2534.715	233.693	1039.989	2368.404	286.778	1004.966	2486.282	15.938	812.386	2484.767	19.970	479.650	2528.106	22.727	429.471	2495.771	58.457	382.232	2803.617	85.015	204.558	2817.417	137.562	247.113	2848.802	146.689	236.336	2842.432	102.981	188.660	2829.225	86.439	139.315	2817.900	74.194	77.595	2785.168	113.466	67.798	2759.076	142.245	26.239	2762.087	128.932	129.650	2424.568	358.357	817.727	2376.766	321.855	504.777	2384.590	329.431	430.555	2334.215	278.544	431.860	2359.840	270.111	72.683	2401.650	220.427	70.450	2404.823	216.238	37.315	2358.915	257.221	31.498	2304.307	270.800	27.121	2247.233	290.694	21.600	2211.590	243.694	35.951	2169.734	201.577	27.117	2268.635	228.851	77.546
3	0.02000	2439.969	113.725	1649.585	2453.281	284.294	1639.088	2318.657	208.667	1678.789	2383.845	186.004	1397.661	2349.324	181.887	1245.944	2514.623	191.362	1490.396	2535.029	184.917	1454.567	2565.215	172.873	1321.218	2522.599	178.439	1139.538	2513.864	178.946	1101.327	2521.920	184.102	1064.902	2443.883	-21.022	1449.201	2458.238	-61.832	1274.543	2453.759	-77.459	1123.622	2269.514	-54.100	936.638	2312.007	-93.064	899.440	2244.251	-87.966	864.371	2465.349	394.945	1420.015	2528.279	425.222	1249.569	2531.214	444.483	1105.716	2456.036	447.314	846.325	2512.535	489.504	850.131	2463.020	485.446	774.590	2369.815	69.822	989.164	2529.001	148.123	1040.711	2522.456	235.119	1041.673	2355.861	286.475	1006.438	2473.513	17.598	813.160	2459.378	20.101	480.783	2502.041	23.036	430.913	2470.594	59.379	383.746	2782.392	86.413	212.496	2794.593	140.527	253.928	2825.894	150.384	243.821	2821.124	105.136	197.228	2810.034	86.819	147.951	2801.587	72.171	86.750	2766.152	109.977	75.535	2741.070	137.968	31.246	2741.125	127.971	135.460	2413.191	358.765	819.027	2374.174	322.978	504.994	2383.319	330.943	430.748	2331.636	279.853	431.484	2359.591	268.665	71.565	2401.696	220.533	70.621	2404.952	216.370	37.376	2358.974	257.151	31.384	2304.389	270.891	27.023	2247.247	290.772	21.585	2211.616	243.702	35.863	2169.922	201.322	26.800	2268.687	228.957	77.430
4	0.03000	2427.279	114.608	1651.293	2440.347	285.167	1640.427	2305.931	209.690	1680.263	2371.210	186.148	1399.107	2337.229	181.489	1247.204	2501.701	192.520	1492.058	2522.249	186.212	1456.353	2553.344	174.407	1323.261	2510.858	179.901	1141.351	2500.174	181.202	1102.500	2510.223	185.381	1066.482	2432.225	-20.272	1451.189	2447.849	-60.556	1276.489	2445.014	-74.977	1125.333	2264.243	-52.638	934.424	2306.930	-91.808	897.864	2240.661	-87.473	862.075	2450.208	395.533	1421.497	2512.864	426.746	1251.073	2514.506	446.452	1106.867	2437.751	447.899	848.475	2493.504	490.733	851.571	2443.032	486.367	776.739	2359.123	69.462	991.086	2517.824	149.519	1042.221	2512.990	237.367	1044.939	2343.693	286.183	1007.688	2460.921	18.602	814.543	2434.219	20.258	482.805	2476.143	23.841	433.103	2445.282	60.383	385.899	2760.187	88.304	219.453	2772.017	143.473	259.007	2803.664	154.061	248.226	2799.017	106.873	203.285	2786.685	86.655	155.949	2778.259	68.670	95.389	2741.930	106.671	82.352	2717.192	133.184	36.388	2717.701	126.773	142.270	2403.061	359.091	819.741	2371.253	323.965	505.281	2382.421	332.235	430.935	2328.878	282.124	430.923	2360.916	270.759	73.161	2401.934	221.093	70.013	2405.121	216.494	37.425	2358.974	257.234	31.407	2304.500	271.014	26.915	2247.188	291.473	22.110	2211.673	243.857	35.769	2170.052	201.330	26.508	2270.286	229.862	77.472
5	0.04000	2414.645	115.514	1652.834	2427.141	285.684	1641.391	2293.554	210.061	1681.668	2359.085	185.668	1400.383	2324.986	181.107	1248.184	2488.985	193.607	1493.649	2509.626	187.471	1458.024	2541.484	176.018	1325.122	2499.374	181.255	1143.026	2489.595	181.926	1104.283	2498.846	186.597	1067.990	2420.869	-19.504	1452.994	2437.416	-59.372	1278.228	2436.658	-72.728	1127.028	2259.792	-50.992	932.352	2303.441	-90.847	897.405	2238.041	-85.993	859.340	2435.962	396.003	1423.121	2497.289	428.345	1252.529	2498.125	448.282	1108.193	2418.971	448.682	850.671	2474.129	491.846	853.001	2422.680	487.177	778.983	2348.626	69.252	993.078	2506.764	150.828	1043.695	2501.522	238.579	1046.415	2332.045	286.040	1008.740	2448.161	19.551	816.279	2409.637	20.591	485.499	2451.012	24.352	435.970	2420.212	61.141	388.964	2737.024	88.980	225.714	2750.514	146.147	262.966	2781.616	155.818	250.997	2774.957	107.630	207.370	2760.475	86.086	161.581	2749.577	65.526	101.975	2715.436	103.939	87.973	2690.318	128.884	40.944	2692.752	126.986	147.775	2394.084	359.400	820.038	2367.471	324.780	505.389	2381.119	333.097	431.065	2326.121	284.037	430.636	2361.067	270.918	73.272	2402.326	221.146	70.402	2405.553	216.648	37.596	2359.156	257.439	31.362	2304.607	271.258	26.870	2247.418	291.767	22.204	2211.878	243.913	35.775	2170.472	201.177	26.397	2270.450	229.932	77.293
6	0.05000	2401.991	116.247	1654.213	2414.167	286.327	1642.452	2280.777	210.656	1682.927	2346.648	185.594	1401.483	2313.182	180.788	1249.051	2476.211	194.663	1495.089	2496.981	188.711	1459.580	2529.427	177.634	1326.830	2487.894	182.609	1144.577	2478.149	183.161	1105.822	2487.461	187.742	1069.310	2409.684	-18.874	1454.573	2427.346	-58.345	1279.788	2428.282	-70.763	1128.502	2255.017	-49.500	930.398	2299.605	-89.611	896.570	2235.196	-84.381	856.630	2421.267	396.512	1424.684	2481.722	429.951	1253.990	2481.706	450.221	1109.622	2399.520	449.411	853.000	2454.395	492.928	854.464	2401.771	487.930	781.355	2337.747	69.352	995.071	2495.601	151.994	1045.066	2490.066	239.666	1047.641	2320.446	286.296	1009.680	2434.793	20.138	817.980	2385.399	21.015	488.600	2426.247	24.927	438.917	2394.958	62.153	391.670	2710.721	90.664	229.027	2726.451	148.857	265.412	2757.972	156.852	252.034	2748.799	107.859	210.594	2732.491	85.047	165.183	2719.482	62.824	106.623	2686.496	102.015	92.255	2661.063	125.931	44.339	2666.127	127.145	151.975	2386.047	359.699	820.171	2363.501	325.388	505.418	2379.051	333.411	431.294	2322.952	285.289	430.466	2361.207	271.107	73.407	2402.481	221.407	70.657	2405.819	216.891	37.671	2359.345	257.655	31.296	2304.804	271.533	26.680	2247.540	291.924	22.125	2211.999	243.918	35.675	2170.814	200.932	26.178	2270.607	230.075	77.195
7	0.06000	2389.288	116.875	1655.497	2401.208	286.832	1643.428	2267.960	211.134	1684.078	2334.324	185.574	1402.450	2301.389	180.533	1249.904	2463.532	195.614	1496.482	2484.415	189.898	1461.077	2517.382	179.224	1328.422	2477.092	184.003	1146.005	2466.812	184.352	1107.169	2476.156	188.805	1070.514	2398.669	-18.330	1455.872	2417.374	-57.446	1281.131	2419.996	-69.037	1129.781	2249.755	-48.225	928.535	2295.704	-88.513	895.704	2232.427	-82.672	853.901	2406.558	396.982	1426.182	2466.234	431.586	1255.367	2465.201	452.206	1110.952	2379.964	449.980	855.321	2434.321	493.987	855.972	2380.539	488.541	783.797	2326.670	69.843	996.891	2484.410	152.973	1046.411	2478.794	240.583	1048.660	2309.133	286.856	1010.401	2420.917	20.497	819.721	2361.657	21.660	491.964	2401.695	25.555	441.799	2369.550	62.813	394.684	2684.383	90.963	230.720	2701.336	149.414	266.044	2733.015	157.127	251.732	2722.086	107.650	211.395	2704.404	84.502	166.651	2689.484	61.280	108.904	2656.828	100.601	94.617	2630.484	124.196	46.767	2638.481	126.928	154.310	2378.346	359.929	820.243	2359.155	325.891	505.641	2375.379	333.670	431.918	2319.307	285.810	430.273	2361.180	271.317	73.533	2402.476	221.719	70.995	2405.969	217.102	37.832	2359.456	257.858	31.231	2304.954	271.761	26.514	2247.634	292.212	21.985	2212.061	244.091	35.562	2170.981	200.919	25.872	2270.657	230.308	77.119
8	0.07000	2376.594	117.385	1656.691	2388.370	287.386	1644.304	2255.181	211.576	1685.095	2322.110	185.504	1403.333	2289.821	180.381	1250.586	2450.952	196.470	1497.815	2471.975	191.012	1462.515	2505.397	180.733	1329.852	2465.704	185.293	1147.195	2457.451	185.231	1109.097	2465.061	189.713	1071.704	2387.777	-17.915	1456.935	2407.309	-56.436	1282.127	2411.098	-67.756	1130.804	2245.749	-46.726	926.411	2291.559	-87.351	894.365	2229.636	-80.981	851.220	2391.960	397.377	1427.616	2450.591	433.353	1256.700	2448.636	454.232	1112.279	2360.403	450.485	857.793	2413.950	495.017	857.508	2358.927	488.924	786.287	2315.651	70.622	998.501	2473.285	153.706	1047.794	2468.712	241.202	1049.706	2298.181	287.714	1010.876	2406.567	20.491	821.489	2338.364	22.427	495.384	2377.150	26.024	444.682	2344.194	63.139	397.911	2657.376	90.674	230.035	2675.356	149.013	265.310	2707.064	156.754	250.180	2694.947	107.273	210.072	2676.215	83.995	165.889	2659.742	60.773	108.623	2626.733	100.090	95.175	2598.943	123.237	47.922	2609.897	126.322	155.200	2370.322	360.211	820.407	2354.363	326.229	506.008	2370.670	333.630	432.498	2315.106	285.998	430.057	2360.966	271.336	73.727	2402.256	221.823	71.306	2405.975	217.175	37.996	2359.420	257.931	31.213	2305.015	271.938	26.396	2247.702	292.546	21.801	2211.906	244.308	35.374	2170.931	201.006	25.364	2270.451	230.418	76.926
9	0.08000	2363.904	117.830	1657.720	2375.403	287.740	1645.102	2242.329	211.877	1685.886	2310.034	185.516	1404.109	2278.274	180.371	1251.246	2438.444	197.209	1498.982	2459.614	192.022	1463.801	2493.431	182.144	1331.142	2454.422	186.420	1148.363	2447.072	186.108	1110.365	2453.973	190.522	1072.750	2376.880	-17.558	1457.637	2397.872	-55.691	1282.876	2403.130	-66.475	1131.664	2241.444	-45.519	924.481	2287.577	-86.505	893.328	2226.848	-79.311	848.559	2377.519	397.691	1428.988	2434.904	435.122	1257.934	2431.788	456.404	1113.541	2340.312	450.664	860.083	2393.293	495.950	859.034	2337.031	489.220	788.912	2303.913	71.820	1000.163	2462.127	154.226	1049.012	2457.113	241.901	1050.206	2287.080	288.963	1011.290	2391.934	20.288	823.349	2315.526	23.283	499.032	2352.892	26.396	447.598	2318.984	63.222	401.155	2629.766	90.105	228.150	2648.943	148.277	263.205	2680.347	155.848	247.269	2667.096	106.604	207.179	2647.237	83.547	163.373	2629.031	60.900	106.397	2595.591	100.062	94.301	2566.362	123.471	48.088	2580.652	126.157	154.746	2361.805	360.422	820.629	2348.978	326.207	506.216	2365.407	333.195	432.902	2310.355	285.734	429.802	2360.595	271.062	73.935	2401.825	221.572	71.666	2405.854	216.960	38.202	2359.397	257.720	31.205	2304.986	271.908	26.369	2247.733	292.734	21.703	2211.617	244.369	35.102	2170.734	200.928	24.601	2270.070	230.264	76.707
10	0.09000	2351.265	118.154	1658.548	2362.595	288.098	1645.823	2229.531	212.108	1686.498	2297.981	185.562	1404.701	2266.477	180.675	1251.763	2426.540	198.536	1500.138	2447.354	192.958	1464.889	2481.560	183.434	1332.311	2443.177	187.377	1149.373	2435.498	187.224	1111.098	2443.019	191.173	1073.695	2366.005	-17.207	1458.044	2388.663	-54.978	1283.406	2395.357	-65.382	1132.245	2237.168	-44.309	922.403	2283.970	-85.813	892.372	2224.030	-77.731	845.961	2363.353	397.969	1430.260	2419.328	436.878	1259.115	2415.193	458.460	1114.698	2320.063	450.919	862.599	2372.407	496.830	860.596	2314.936	489.322	791.565	2292.092	72.865	1001.946	2450.723	154.561	1050.085	2445.595	242.383	1050.460	2276.524	290.395	1011.566	2377.668	19.876	825.355	2293.175	24.167	502.696	2329.224	25.909	451.123	2294.058	63.398	404.631	2601.426	89.396	224.854	2622.257	147.391	259.681	2653.534	154.255	242.552	2638.325	105.568	202.787	2617.017	83.065	159.369	2596.572	61.307	102.856	2563.056	100.723	92.457	2532.259	124.720	47.313	2550.434	126.210	153.364	2352.852	360.515	820.859	2342.977	325.647	506.385	2359.906	332.465	433.163	2305.305	284.972	429.580	2360.127	270.569	74.171	2401.383	220.730	72.203	2405.652	216.560	38.418	2359.204	257.385	31.398	2304.907	271.726	26.456	2247.722	292.864	21.630	2211.223	244.271	34.817	2170.435	200.813	23.648	2269.574	229.757	76.400
