NO_OF_FRAMES	386
NO_OF_CAMERAS	16
NO_OF_MARKERS	61
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-09-06, 20:13:53	12858.09897148
DATA_INCLUDED	3D
MARKER_NAMES	L_HEAD	R_HEAD	SGL	SJN	SXS	CV7	TV2	MAI	LV1	LV3	LV5	L_SAE	L_HUM	L_HLE	L_RSP	L_USP	L_HM2	R_SAE	R_HUM	R_HLE	R_RSP	R_USP	R_HM2	L_IAS	L_IPS	R_IPS	R_IAS	L_FTC	L_FLE	L_FME	L_FAX	L_TTC	L_FAL	L_TAM	L_FCC2	L_FCC	L_LCAL	L_FMT	L_FM5	L_FM2	L_PM6	L_FM1	L_P1MT	L_MCAL	R_FTC	R_FLE	R_FME	R_FAX	R_TTC	R_FAL	R_TAM	R_FCC2	R_FCC	R_LCAL	R_FMT	R_FM5	R_FM2	R_PM6	R_FM1	R_P1MT	R_MCAL
Frame	Time	L_HEAD X	L_HEAD Y	L_HEAD Z	R_HEAD X	R_HEAD Y	R_HEAD Z	SGL X	SGL Y	SGL Z	SJN X	SJN Y	SJN Z	SXS X	SXS Y	SXS Z	CV7 X	CV7 Y	CV7 Z	TV2 X	TV2 Y	TV2 Z	MAI X	MAI Y	MAI Z	LV1 X	LV1 Y	LV1 Z	LV3 X	LV3 Y	LV3 Z	LV5 X	LV5 Y	LV5 Z	L_SAE X	L_SAE Y	L_SAE Z	L_HUM X	L_HUM Y	L_HUM Z	L_HLE X	L_HLE Y	L_HLE Z	L_RSP X	L_RSP Y	L_RSP Z	L_USP X	L_USP Y	L_USP Z	L_HM2 X	L_HM2 Y	L_HM2 Z	R_SAE X	R_SAE Y	R_SAE Z	R_HUM X	R_HUM Y	R_HUM Z	R_HLE X	R_HLE Y	R_HLE Z	R_RSP X	R_RSP Y	R_RSP Z	R_USP X	R_USP Y	R_USP Z	R_HM2 X	R_HM2 Y	R_HM2 Z	L_IAS X	L_IAS Y	L_IAS Z	L_IPS X	L_IPS Y	L_IPS Z	R_IPS X	R_IPS Y	R_IPS Z	R_IAS X	R_IAS Y	R_IAS Z	L_FTC X	L_FTC Y	L_FTC Z	L_FLE X	L_FLE Y	L_FLE Z	L_FME X	L_FME Y	L_FME Z	L_FAX X	L_FAX Y	L_FAX Z	L_TTC X	L_TTC Y	L_TTC Z	L_FAL X	L_FAL Y	L_FAL Z	L_TAM X	L_TAM Y	L_TAM Z	L_FCC2 X	L_FCC2 Y	L_FCC2 Z	L_FCC X	L_FCC Y	L_FCC Z	L_LCAL X	L_LCAL Y	L_LCAL Z	L_FMT X	L_FMT Y	L_FMT Z	L_FM5 X	L_FM5 Y	L_FM5 Z	L_FM2 X	L_FM2 Y	L_FM2 Z	L_PM6 X	L_PM6 Y	L_PM6 Z	L_FM1 X	L_FM1 Y	L_FM1 Z	L_P1MT X	L_P1MT Y	L_P1MT Z	L_MCAL X	L_MCAL Y	L_MCAL Z	R_FTC X	R_FTC Y	R_FTC Z	R_FLE X	R_FLE Y	R_FLE Z	R_FME X	R_FME Y	R_FME Z	R_FAX X	R_FAX Y	R_FAX Z	R_TTC X	R_TTC Y	R_TTC Z	R_FAL X	R_FAL Y	R_FAL Z	R_TAM X	R_TAM Y	R_TAM Z	R_FCC2 X	R_FCC2 Y	R_FCC2 Z	R_FCC X	R_FCC Y	R_FCC Z	R_LCAL X	R_LCAL Y	R_LCAL Z	R_FMT X	R_FMT Y	R_FMT Z	R_FM5 X	R_FM5 Y	R_FM5 Z	R_FM2 X	R_FM2 Y	R_FM2 Z	R_PM6 X	R_PM6 Y	R_PM6 Z	R_FM1 X	R_FM1 Y	R_FM1 Z	R_P1MT X	R_P1MT Y	R_P1MT Z	R_MCAL X	R_MCAL Y	R_MCAL Z	
74	0.73000	552.231	483.593	1654.867	542.326	313.695	1643.000	661.716	389.484	1714.465	633.062	412.389	1413.751	672.132	411.504	1262.775	500.307	407.454	1498.569	479.743	412.451	1465.017	453.326	422.346	1329.322	504.285	417.594	1148.319	514.718	419.747	1110.271	508.650	418.660	1073.310	531.668	606.766	1475.369	461.597	646.507	1323.658	429.812	679.163	1181.752	685.176	661.727	1176.955	689.481	676.146	1110.319	755.849	685.178	1141.571	519.320	214.110	1456.530	430.392	191.877	1303.337	417.427	148.744	1166.724	674.864	161.006	1176.336	670.611	149.021	1109.100	736.806	119.734	1159.113	673.351	523.692	1013.732	506.523	458.067	1052.183	500.996	370.799	1045.813	662.491	303.603	1010.765	570.650	593.299	842.621	542.651	575.463	507.913	520.034	462.047	514.185	526.303	579.712	440.208	568.725	528.925	418.794	488.079	545.064	75.613	497.695	466.358	97.480	434.349	499.477	75.915	427.547	498.128	38.342	479.844	537.667	33.405	531.499	547.377	27.678	594.650	566.694	18.979	617.912	514.951	34.012	668.838	475.594	16.127	631.718	465.415	18.470	564.132	491.171	71.975	485.294	468.724	33.657	569.424	240.591	822.092	552.504	250.436	509.554	539.316	353.939	489.221	525.307	237.142	439.572	579.922	282.477	424.583	482.419	261.274	78.245	512.424	340.671	88.642	440.664	311.194	74.392	433.256	312.012	39.320	480.209	269.656	33.965	533.916	253.336	27.915	590.241	230.847	20.460	629.378	279.738	31.238	670.518	320.221	17.687	639.107	329.925	22.304	571.931	300.659	71.831	489.129	335.793	34.476
75	0.74000	552.504	483.611	1654.964	542.429	313.749	1643.070	661.948	389.423	1714.379	633.064	412.335	1413.755	672.178	411.489	1262.742	500.339	407.472	1498.559	479.768	412.465	1464.999	453.388	422.337	1329.319	504.355	417.599	1148.310	514.775	419.794	1110.271	508.707	418.693	1073.329	531.674	606.777	1475.320	461.639	646.513	1323.601	429.782	679.084	1181.711	685.207	661.753	1176.898	689.534	676.161	1110.259	755.870	685.242	1141.544	519.272	214.128	1456.466	430.369	191.953	1303.235	417.439	148.811	1166.635	674.866	160.972	1176.305	670.652	148.969	1109.103	736.811	119.669	1159.130	673.386	523.713	1013.711	506.533	458.083	1052.194	501.039	370.853	1045.810	662.544	303.594	1010.735	570.676	593.315	842.610	542.660	575.479	507.928	520.044	462.058	514.199	526.302	579.721	440.192	568.599	529.112	418.800	488.095	545.065	75.625	497.682	466.338	97.480	434.356	499.513	75.937	427.548	498.143	38.334	479.848	537.674	33.410	531.489	547.396	27.698	594.663	566.678	18.965	617.923	514.942	34.019	668.844	475.608	16.107	631.707	465.401	18.443	564.130	491.189	71.982	485.296	468.733	33.651	569.436	240.601	822.086	552.466	250.435	509.541	539.312	353.942	489.210	525.295	237.132	439.591	579.903	282.468	424.579	482.411	261.284	78.239	512.436	340.664	88.629	440.672	311.201	74.391	433.257	312.018	39.321	480.215	269.672	33.951	533.933	253.347	27.919	590.233	230.840	20.473	629.374	279.742	31.244	670.525	320.224	17.684	639.115	329.932	22.299	571.949	300.674	71.843	489.127	335.814	34.468
76	0.75000	552.767	483.625	1655.039	542.512	313.764	1643.129	662.228	389.294	1714.277	633.056	412.337	1413.714	672.243	411.467	1262.737	500.355	407.481	1498.579	479.772	412.468	1464.979	453.447	422.325	1329.291	504.444	417.631	1148.318	514.841	419.813	1110.253	508.750	418.707	1073.336	531.664	606.750	1475.263	461.643	646.442	1323.541	429.817	679.026	1181.640	685.216	661.811	1176.881	689.555	676.214	1110.244	755.852	685.325	1141.544	519.176	214.154	1456.403	430.319	192.018	1303.136	417.457	148.898	1166.521	674.886	160.938	1176.316	670.668	148.941	1109.090	736.780	119.591	1159.152	673.451	523.735	1013.677	506.617	458.096	1052.189	501.100	370.875	1045.814	662.581	303.611	1010.704	570.683	593.331	842.597	542.629	575.499	507.916	520.030	462.077	514.207	526.283	579.756	440.186	568.565	529.100	418.787	488.068	545.074	75.637	497.698	466.356	97.503	434.361	499.503	75.950	427.547	498.158	38.339	479.853	537.681	33.402	531.492	547.400	27.691	594.667	566.678	18.985	617.916	514.938	34.002	668.834	475.596	16.117	631.714	465.432	18.473	564.145	491.190	72.004	485.299	468.734	33.654	569.455	240.620	822.097	552.460	250.448	509.548	539.283	353.952	489.216	525.274	237.151	439.589	579.869	282.478	424.547	482.420	261.276	78.246	512.440	340.646	88.629	440.659	311.212	74.383	433.248	312.021	39.327	480.239	269.692	33.964	533.936	253.352	27.935	590.221	230.855	20.465	629.393	279.734	31.247	670.520	320.231	17.690	639.101	329.925	22.301	571.934	300.695	71.812	489.143	335.806	34.462
77	0.76000	553.055	483.624	1655.135	542.567	313.831	1643.190	662.470	389.239	1714.147	633.050	412.318	1413.728	672.277	411.469	1262.744	500.360	407.482	1498.566	479.790	412.454	1464.964	453.497	422.334	1329.251	504.526	417.636	1148.308	514.925	419.811	1110.244	508.818	418.716	1073.324	531.611	606.729	1475.231	461.620	646.380	1323.496	429.803	678.936	1181.567	685.223	661.811	1176.841	689.547	676.241	1110.225	755.857	685.382	1141.516	519.071	214.151	1456.330	430.283	192.089	1303.014	417.449	148.996	1166.377	674.877	160.878	1176.315	670.706	148.911	1109.107	736.787	119.501	1159.186	673.495	523.773	1013.645	506.678	458.096	1052.176	501.138	370.887	1045.806	662.648	303.594	1010.694	570.708	593.330	842.596	542.610	575.536	507.958	520.010	462.103	514.192	526.254	579.754	440.176	568.571	529.128	418.820	488.065	545.071	75.631	497.672	466.360	97.517	434.346	499.489	75.950	427.569	498.143	38.336	479.841	537.684	33.404	531.494	547.398	27.695	594.650	566.673	18.963	617.920	514.941	33.982	668.850	475.596	16.129	631.708	465.427	18.466	564.125	491.181	71.981	485.297	468.731	33.649	569.471	240.635	822.084	552.446	250.457	509.557	539.271	353.949	489.221	525.271	237.163	439.582	579.900	282.484	424.589	482.415	261.281	78.242	512.421	340.676	88.651	440.672	311.200	74.386	433.254	312.034	39.343	480.219	269.683	33.968	533.942	253.342	27.922	590.239	230.851	20.475	629.372	279.728	31.247	670.526	320.225	17.695	639.101	329.927	22.313	571.939	300.694	71.818	489.144	335.818	34.466
78	0.77000	553.308	483.606	1655.172	542.610	313.867	1643.298	662.755	389.130	1714.033	633.043	412.280	1413.700	672.323	411.421	1262.715	500.353	407.477	1498.553	479.769	412.467	1464.929	453.531	422.313	1329.209	504.557	417.656	1148.301	514.950	419.819	1110.263	508.868	418.712	1073.331	531.608	606.696	1475.178	461.601	646.314	1323.428	429.789	678.843	1181.532	685.192	661.847	1176.825	689.512	676.272	1110.198	755.845	685.448	1141.531	518.956	214.160	1456.265	430.230	192.158	1302.882	417.455	149.094	1166.226	674.883	160.841	1176.344	670.728	148.885	1109.122	736.787	119.467	1159.205	673.555	523.804	1013.614	506.748	458.121	1052.187	501.181	370.890	1045.852	662.698	303.604	1010.652	570.720	593.334	842.611	542.608	575.538	507.899	519.974	462.125	514.197	526.245	579.767	440.166	568.534	529.151	418.795	488.084	545.091	75.625	497.652	466.358	97.493	434.342	499.492	75.929	427.542	498.132	38.336	479.844	537.696	33.406	531.484	547.385	27.688	594.666	566.683	18.956	617.914	514.955	34.011	668.843	475.608	16.124	631.704	465.423	18.476	564.126	491.207	71.989	485.295	468.746	33.660	569.483	240.646	822.075	552.443	250.458	509.553	539.288	353.973	489.213	525.263	237.149	439.573	579.872	282.499	424.565	482.399	261.290	78.248	512.450	340.688	88.618	440.668	311.223	74.387	433.237	312.044	39.346	480.231	269.666	33.963	533.937	253.353	27.921	590.246	230.846	20.471	629.383	279.726	31.241	670.525	320.220	17.681	639.103	329.926	22.296	571.932	300.672	71.836	489.144	335.811	34.472
79	0.78000	553.538	483.661	1655.250	542.674	313.910	1643.369	662.984	389.057	1713.972	632.988	412.247	1413.678	672.387	411.413	1262.716	500.292	407.482	1498.547	479.725	412.446	1464.886	453.546	422.312	1329.164	504.635	417.641	1148.266	515.022	419.825	1110.229	508.961	418.738	1073.297	531.551	606.658	1475.167	461.516	646.216	1323.405	429.737	678.727	1181.467	685.163	661.870	1176.837	689.518	676.280	1110.194	755.795	685.518	1141.510	518.820	214.151	1456.173	430.185	192.228	1302.732	417.474	149.150	1166.078	674.879	160.804	1176.339	670.758	148.873	1109.137	736.779	119.380	1159.252	673.616	523.827	1013.586	506.800	458.129	1052.172	501.254	370.909	1045.828	662.749	303.623	1010.609	570.741	593.341	842.611	542.586	575.552	507.931	519.985	462.152	514.202	526.215	579.797	440.181	568.517	529.178	418.795	488.063	545.079	75.622	497.699	466.380	97.489	434.348	499.480	75.907	427.550	498.135	38.358	479.850	537.697	33.410	531.487	547.408	27.716	594.657	566.694	18.969	617.931	514.942	34.013	668.838	475.607	16.108	631.722	465.426	18.458	564.155	491.206	71.982	485.310	468.733	33.645	569.523	240.678	822.061	552.460	250.462	509.549	539.269	353.948	489.202	525.253	237.157	439.596	579.879	282.500	424.560	482.407	261.272	78.238	512.424	340.680	88.623	440.685	311.199	74.379	433.255	312.030	39.326	480.219	269.678	33.977	533.925	253.342	27.928	590.225	230.862	20.489	629.386	279.722	31.244	670.537	320.224	17.682	639.104	329.933	22.300	571.933	300.669	71.858	489.135	335.815	34.439
80	0.79000	553.781	483.688	1655.333	542.734	313.946	1643.458	663.182	388.978	1713.962	632.920	412.209	1413.631	672.409	411.394	1262.709	500.262	407.447	1498.515	479.674	412.427	1464.819	453.571	422.286	1329.102	504.670	417.657	1148.252	515.076	419.819	1110.224	509.009	418.761	1073.315	531.484	606.624	1475.128	461.461	646.124	1323.370	429.671	678.602	1181.414	685.117	661.890	1176.835	689.450	676.326	1110.202	755.753	685.583	1141.522	518.691	214.132	1456.073	430.109	192.279	1302.581	417.463	149.253	1165.901	674.891	160.768	1176.333	670.813	148.842	1109.118	736.777	119.330	1159.278	673.668	523.858	1013.559	506.866	458.154	1052.191	501.313	370.916	1045.833	662.825	303.611	1010.589	570.792	593.357	842.598	542.564	575.570	507.920	519.940	462.164	514.206	526.204	579.824	440.198	568.484	529.174	418.791	488.071	545.101	75.616	497.692	466.374	97.505	434.333	499.513	75.937	427.561	498.146	38.355	479.838	537.681	33.404	531.491	547.377	27.673	594.653	566.701	18.972	617.935	514.944	34.010	668.835	475.600	16.113	631.711	465.425	18.473	564.124	491.204	71.988	485.303	468.732	33.672	569.551	240.705	822.079	552.450	250.460	509.550	539.309	353.963	489.219	525.264	237.168	439.604	579.879	282.487	424.569	482.424	261.282	78.262	512.441	340.686	88.628	440.669	311.216	74.398	433.257	312.052	39.328	480.221	269.677	33.974	533.937	253.350	27.917	590.234	230.851	20.463	629.396	279.726	31.240	670.528	320.220	17.691	639.103	329.930	22.314	571.932	300.664	71.854	489.138	335.816	34.456
81	0.80000	554.018	483.681	1655.382	542.822	314.031	1643.522	663.371	388.952	1713.934	632.848	412.189	1413.634	672.428	411.397	1262.755	500.208	407.443	1498.479	479.635	412.401	1464.768	453.577	422.281	1329.052	504.748	417.652	1148.247	515.136	419.856	1110.203	509.054	418.774	1073.297	531.398	606.603	1475.119	461.386	646.035	1323.325	429.575	678.496	1181.368	685.048	661.918	1176.859	689.382	676.343	1110.233	755.670	685.665	1141.568	518.540	214.130	1455.968	430.047	192.331	1302.420	417.461	149.345	1165.719	674.897	160.730	1176.336	670.847	148.852	1109.096	736.767	119.275	1159.292	673.736	523.880	1013.525	506.907	458.171	1052.182	501.377	370.935	1045.833	662.884	303.630	1010.564	570.833	593.375	842.597	542.553	575.599	507.932	519.938	462.179	514.208	526.181	579.819	440.194	568.467	529.201	418.786	488.076	545.085	75.616	497.666	466.381	97.523	434.339	499.501	75.926	427.528	498.162	38.373	479.849	537.678	33.403	531.494	547.399	27.690	594.653	566.689	18.955	617.924	514.944	34.008	668.835	475.597	16.130	631.704	465.426	18.462	564.124	491.206	71.994	485.297	468.754	33.650	569.592	240.711	822.081	552.464	250.468	509.553	539.293	353.955	489.196	525.260	237.171	439.606	579.895	282.495	424.583	482.395	261.314	78.251	512.444	340.691	88.654	440.691	311.129	74.495	433.263	312.061	39.345	480.223	269.694	33.973	533.919	253.351	27.940	590.236	230.843	20.475	629.388	279.736	31.255	670.521	320.212	17.690	639.110	329.927	22.320	571.933	300.674	71.857	489.134	335.819	34.450
82	0.81000	554.268	483.754	1655.427	542.894	314.042	1643.576	663.542	388.918	1713.944	632.757	412.144	1413.655	672.467	411.366	1262.776	500.139	407.426	1498.464	479.583	412.358	1464.725	453.590	422.253	1328.994	504.800	417.666	1148.224	515.208	419.844	1110.175	509.117	418.800	1073.294	531.301	606.573	1475.083	461.289	645.946	1323.265	429.492	678.378	1181.300	684.940	661.928	1176.867	689.312	676.334	1110.222	755.578	685.708	1141.586	518.386	214.116	1455.855	430.009	192.347	1302.244	417.470	149.386	1165.531	674.891	160.701	1176.328	670.830	149.053	1108.899	736.771	119.226	1159.317	673.798	523.916	1013.528	506.998	458.182	1052.174	501.458	370.940	1045.825	662.938	303.614	1010.536	570.893	593.406	842.591	542.547	575.591	507.937	519.920	462.208	514.209	526.192	579.843	440.197	568.468	529.220	418.799	488.062	545.101	75.629	497.657	466.383	97.514	434.323	499.504	75.938	427.546	498.135	38.361	479.847	537.695	33.396	531.507	547.394	27.682	594.659	566.692	18.977	617.924	514.947	34.013	668.843	475.597	16.112	631.715	465.419	18.459	564.138	491.199	71.973	485.288	468.746	33.647	569.635	240.725	822.086	552.476	250.468	509.558	539.299	353.958	489.207	525.281	237.174	439.592	579.893	282.489	424.556	482.398	261.299	78.255	512.443	340.688	88.642	440.688	311.134	74.513	433.263	312.058	39.364	480.251	269.683	33.996	533.924	253.351	27.917	590.233	230.853	20.469	629.385	279.726	31.241	670.522	320.215	17.686	639.117	329.931	22.311	571.961	300.700	71.859	489.140	335.815	34.443
83	0.82000	554.464	483.789	1655.461	542.964	314.119	1643.627	663.687	388.896	1713.969	632.691	412.112	1413.642	672.467	411.394	1262.797	500.077	407.393	1498.471	479.534	412.340	1464.689	453.597	422.229	1328.966	504.850	417.678	1148.216	515.226	419.886	1110.187	509.172	418.818	1073.281	531.202	606.523	1475.031	461.167	645.846	1323.240	429.387	678.277	1181.261	684.862	661.957	1176.879	689.208	676.346	1110.272	755.487	685.773	1141.620	518.250	214.089	1455.758	429.955	192.390	1302.090	417.481	149.463	1165.349	674.911	160.702	1176.297	670.903	149.044	1108.874	736.788	119.174	1159.318	673.858	523.929	1013.513	507.061	458.203	1052.174	501.476	370.962	1045.840	663.001	303.622	1010.533	570.941	593.421	842.579	542.586	575.623	507.941	519.942	462.200	514.191	526.176	579.858	440.208	568.509	529.220	418.812	488.063	545.079	75.615	497.680	466.388	97.522	434.340	499.472	75.938	427.549	498.140	38.365	479.827	537.660	33.397	531.497	547.399	27.684	594.648	566.693	18.973	617.930	514.960	34.006	668.836	475.597	16.109	631.718	465.420	18.469	564.141	491.194	71.982	485.287	468.749	33.659	569.680	240.740	822.115	552.490	250.481	509.565	539.336	353.965	489.194	525.286	237.196	439.591	579.927	282.512	424.576	482.416	261.311	78.247	512.459	340.674	88.611	440.663	311.210	74.404	433.263	312.061	39.355	480.220	269.699	33.993	533.938	253.348	27.927	590.208	230.847	20.466	629.406	279.734	31.238	670.544	320.208	17.686	639.111	329.923	22.309	571.936	300.702	71.836	489.150	335.837	34.465
84	0.83000	554.641	483.836	1655.444	543.040	314.144	1643.701	663.765	389.044	1713.904	632.635	412.122	1413.648	672.498	411.413	1262.828	500.015	407.351	1498.452	479.465	412.275	1464.653	453.580	422.181	1328.914	504.881	417.680	1148.197	515.300	419.885	1110.172	509.221	418.838	1073.254	531.096	606.512	1475.019	461.029	645.784	1323.201	429.266	678.179	1181.201	684.764	661.941	1176.907	689.149	676.340	1110.279	755.390	685.818	1141.660	518.128	214.057	1455.658	429.919	192.421	1301.909	417.515	149.533	1165.150	674.923	160.651	1176.256	670.957	149.058	1108.806	736.783	119.139	1159.312	673.908	523.947	1013.505	507.088	458.234	1052.194	501.539	370.986	1045.805	663.048	303.623	1010.526	570.984	593.437	842.573	542.643	575.608	507.908	519.971	462.204	514.205	526.218	579.857	440.200	568.526	529.221	418.800	488.089	545.056	75.616	497.667	466.374	97.523	434.347	499.488	75.950	427.553	498.138	38.367	479.856	537.671	33.403	531.489	547.377	27.671	594.656	566.684	18.970	617.916	514.931	33.998	668.843	475.602	16.123	631.710	465.425	18.475	564.145	491.196	71.987	485.314	468.738	33.666	569.716	240.760	822.114	552.523	250.500	509.543	539.351	353.967	489.205	525.319	237.197	439.605	579.922	282.504	424.564	482.409	261.314	78.262	512.448	340.694	88.648	440.679	311.238	74.403	433.244	312.059	39.361	480.224	269.699	33.980	533.909	253.357	27.919	590.220	230.856	20.486	629.384	279.734	31.249	670.549	320.210	17.684	639.110	329.926	22.305	571.947	300.682	71.856	489.152	335.835	34.453
85	0.84000	554.760	483.868	1655.454	543.111	314.189	1643.778	663.987	388.932	1713.924	632.539	412.062	1413.606	672.501	411.416	1262.825	499.971	407.311	1498.449	479.408	412.240	1464.616	453.582	422.148	1328.864	504.928	417.695	1148.163	515.309	419.888	1110.175	509.293	418.868	1073.249	530.965	606.452	1474.990	460.966	645.710	1323.151	429.162	678.067	1181.153	684.652	661.955	1176.926	689.034	676.360	1110.316	755.267	685.855	1141.687	518.025	214.023	1455.567	429.798	192.490	1301.767	417.537	149.626	1165.000	674.969	160.632	1176.244	671.002	149.036	1108.782	736.785	119.106	1159.309	673.971	523.970	1013.517	507.144	458.246	1052.154	501.549	370.969	1045.840	663.101	303.614	1010.505	571.055	593.442	842.561	542.635	575.614	507.907	520.010	462.206	514.199	526.267	579.844	440.181	568.609	529.081	418.733	488.070	545.050	75.620	497.707	466.379	97.523	434.354	499.479	75.936	427.545	498.123	38.360	479.844	537.660	33.401	531.495	547.382	27.670	594.661	566.681	18.964	617.933	514.949	33.995	668.846	475.606	16.113	631.718	465.403	18.477	564.145	491.187	71.988	485.315	468.722	33.666	569.769	240.768	822.099	552.564	250.493	509.550	539.403	353.984	489.211	525.349	237.194	439.617	579.956	282.503	424.584	482.425	261.303	78.253	512.440	340.692	88.650	440.669	311.228	74.383	433.273	312.086	39.368	480.242	269.695	33.987	533.947	253.364	27.921	590.227	230.839	20.470	629.398	279.725	31.253	670.538	320.211	17.683	639.120	329.934	22.295	571.957	300.698	71.845	489.156	335.821	34.462
86	0.85000	554.849	483.914	1655.427	543.188	314.224	1643.874	664.060	389.077	1713.844	632.472	412.059	1413.578	672.506	411.427	1262.833	499.902	407.255	1498.429	479.346	412.184	1464.576	453.569	422.121	1328.806	504.972	417.711	1148.161	515.371	419.899	1110.152	509.332	418.882	1073.233	530.827	606.413	1474.962	460.805	645.624	1323.155	429.030	677.972	1181.130	684.532	661.958	1176.953	688.928	676.367	1110.343	755.157	685.865	1141.728	517.945	213.991	1455.476	429.771	192.532	1301.616	417.577	149.679	1164.870	674.989	160.648	1176.196	671.077	149.028	1108.742	736.792	119.095	1159.292	674.005	523.984	1013.496	507.207	458.252	1052.141	501.593	371.008	1045.831	663.147	303.611	1010.490	571.108	593.453	842.567	542.688	575.596	507.904	520.068	462.209	514.197	526.297	579.828	440.176	568.598	529.185	418.780	488.079	545.056	75.645	497.674	466.366	97.510	434.361	499.499	75.957	427.582	498.130	38.351	479.837	537.657	33.391	531.498	547.383	27.696	594.651	566.680	18.969	617.925	514.931	33.997	668.846	475.594	16.106	631.718	465.430	18.457	564.155	491.193	71.978	485.307	468.725	33.656	569.815	240.753	822.099	552.592	250.515	509.544	539.407	353.985	489.192	525.382	237.217	439.612	579.954	282.529	424.550	482.426	261.300	78.269	512.456	340.692	88.645	440.697	311.236	74.416	433.271	312.090	39.363	480.231	269.706	33.982	533.933	253.365	27.925	590.231	230.850	20.471	629.386	279.733	31.243	670.542	320.217	17.687	639.120	329.926	22.310	571.941	300.693	71.835	489.158	335.803	34.447
87	0.86000	554.946	483.940	1655.418	543.250	314.261	1643.960	664.159	389.142	1713.810	632.405	412.033	1413.553	672.500	411.438	1262.845	499.845	407.209	1498.406	479.287	412.122	1464.536	453.571	422.081	1328.760	505.035	417.690	1148.107	515.424	419.903	1110.113	509.350	418.885	1073.229	530.700	606.362	1474.936	460.706	645.556	1323.081	428.908	677.883	1181.120	684.417	661.948	1176.977	688.810	676.377	1110.378	755.039	685.893	1141.765	517.862	213.937	1455.375	429.764	192.536	1301.489	417.590	149.738	1164.702	675.024	160.661	1176.153	671.109	149.067	1108.660	736.789	119.044	1159.273	674.061	524.005	1013.488	507.242	458.271	1052.135	501.655	371.011	1045.782	663.211	303.624	1010.470	571.135	593.451	842.550	542.750	575.646	507.912	520.111	462.208	514.201	526.332	579.847	440.161	568.742	529.068	418.766	488.075	545.094	75.621	497.690	466.360	97.508	434.369	499.486	75.944	427.552	498.112	38.367	479.849	537.648	33.405	531.488	547.374	27.687	594.648	566.678	18.954	617.936	514.950	33.997	668.843	475.578	16.118	631.711	465.408	18.462	564.140	491.181	71.972	485.321	468.723	33.664	569.852	240.751	822.083	552.616	250.522	509.527	539.455	354.004	489.179	525.407	237.201	439.621	580.010	282.549	424.544	482.423	261.308	78.275	512.471	340.712	88.638	440.689	311.271	74.406	433.268	312.047	39.346	480.238	269.717	33.997	533.929	253.363	27.934	590.223	230.849	20.488	629.406	279.732	31.244	670.543	320.217	17.671	639.132	329.928	22.311	571.955	300.699	71.827	489.166	335.848	34.477
88	0.87000	555.042	483.994	1655.410	543.293	314.282	1644.045	664.256	389.193	1713.874	632.313	411.998	1413.520	672.497	411.456	1262.841	499.746	407.126	1498.378	479.202	412.053	1464.504	453.558	422.044	1328.729	505.036	417.707	1148.111	515.468	419.906	1110.090	509.392	418.881	1073.227	530.535	606.290	1474.921	460.524	645.440	1323.110	428.762	677.791	1181.112	684.278	661.931	1177.005	688.654	676.425	1110.425	754.890	685.931	1141.816	517.784	213.882	1455.292	429.828	192.509	1301.336	417.648	149.785	1164.536	675.073	160.696	1176.111	671.170	149.110	1108.595	736.809	119.077	1159.223	674.102	524.033	1013.482	507.297	458.270	1052.129	501.691	371.011	1045.792	663.272	303.623	1010.471	571.204	593.463	842.548	542.762	575.599	507.897	520.152	462.217	514.199	526.382	579.843	440.164	568.664	529.214	418.771	488.087	545.055	75.621	497.703	466.360	97.537	434.366	499.487	75.933	427.566	498.147	38.378	479.859	537.666	33.402	531.503	547.372	27.679	594.664	566.691	18.965	617.946	514.953	33.993	668.861	475.599	16.107	631.723	465.419	18.479	564.159	491.209	71.982	485.304	468.732	33.648	569.911	240.762	822.087	552.662	250.540	509.519	539.525	354.047	489.194	525.427	237.210	439.604	580.069	282.537	424.569	482.432	261.318	78.276	512.454	340.717	88.649	440.690	311.263	74.413	433.276	312.089	39.365	480.240	269.698	33.985	533.926	253.369	27.939	590.230	230.862	20.480	629.390	279.731	31.236	670.550	320.218	17.679	639.125	329.930	22.301	571.959	300.700	71.865	489.161	335.834	34.449
